case_id,gate_opened,dice,jaccard,sensitivity,precision,specificity,boundary_f1_at_2_px,assd_px,hd95_px,lesion_recall_at_iou_0_10,lesion_precision_at_iou_0_10,lesion_f1_at_iou_0_10,true_positive_pixels,false_positive_pixels,false_negative_pixels
TCGA_HT_8106_19970727_15,0,0.8191674733785091,0.6937202820134448,0.9572398190045249,0.7159052453468697,0.9725276523332679,0.5872228434153796,4.787598327888435,29.0,1.0,1.0,1.0,4231,1679,189
TCGA_HT_8107_19980708_11,0,0.898533724340176,0.8157614483493077,0.9745547073791349,0.8335146898803046,0.9952160590332062,0.7425005582710965,1.6204410036125378,5.385164807134504,1.0,1.0,1.0,1532,306,40
TCGA_HT_8111_19980330_16,0,0.8994565217391305,0.817283950617284,0.8176877470355731,0.9993961352657005,0.9999842549439476,0.573213811692157,2.0576465605649377,4.242640687119285,1.0,1.0,1.0,1655,1,369
TCGA_HT_8113_19930809_17,0,0.7268947873361049,0.5709620698317006,0.9982433025911287,0.5715363339200402,0.9730631214530738,0.25923682616596005,5.787741737535273,17.029386365926403,1.0,1.0,1.0,2273,1704,4
TCGA_HT_8114_19981030_14,0,0.9723414401525989,0.9461716937354988,0.9543646150245729,0.9910085054678007,0.9993960465533845,0.9685967344742669,0.7613959029059432,2.0,1.0,1.0,1.0,4078,37,195
TCGA_HT_8563_19981209_11,0,0.9533876719307183,0.9109272329033828,0.9447248864209995,0.9622107969151671,0.9976126287069218,0.8781624016999328,1.1599652616695038,5.830951894845301,1.0,1.0,1.0,3743,147,219
TCGA_HT_A5RC_19990831_20,0,0.7561450044208665,0.6079044640318453,0.9283543204515848,0.6378281622911695,0.9808011639492037,0.43759206004068174,7.747097213670663,31.42683741693697,0.5,1.0,0.6666666666666666,2138,1214,165
TCGA_HT_A616_19991226_17,0,0.7785402370555209,0.6373850868232891,0.6724137931034483,0.9244444444444444,0.9983982412060302,0.7190038855528081,3.0379254455994467,13.416407864998739,1.0,1.0,1.0,1248,102,608
TCGA_HT_A61A_20000127_35,1,0.9325477448191792,0.8736200989722116,0.8923017107309487,0.9765957446808511,0.9991264849755416,0.8564877442403414,1.1474275387835082,4.123105625617661,1.0,1.0,1.0,2295,55,277
TCGA_HT_A61B_19991127_42,0,0.9595738013162018,0.922289156626506,0.9456454601605929,0.9739185750636132,0.9993585431105966,0.9503583520204018,0.63833852903553,2.23606797749979,1.0,1.0,1.0,1531,41,88
